Geo Code,Geo Name,Line Number
"01J4P","J4P",71122
"01J4R","J4R",71249
"01J4S","J4S",71376
"01J4T","J4T",71503
"01J4V","J4V",71630
"01J4W","J4W",71757
"01J4X","J4X",71884
"01J4Y","J4Y",72011
"01J4Z","J4Z",72138
"01J5A","J5A",72265
"01J5B","J5B",72392
"01J5C","J5C",72519
"01J5J","J5J",72646
"01J5K","J5K",72773
"01J5L","J5L",72900
"01J5M","J5M",73027
"01J5R","J5R",73154
"01J5T","J5T",73281
"01J5V","J5V",73408
"01J5W","J5W",73535
"01J5X","J5X",73662
"01J5Y","J5Y",73789
"01J5Z","J5Z",73916
"01J6A","J6A",74043
"01J6E","J6E",74170
"01J6J","J6J",74297
"01J6K","J6K",74424
"01J6N","J6N",74551
"01J6R","J6R",74678
"01J6S","J6S",74805
"01J6T","J6T",74932
"01J6V","J6V",75059
"01J6W","J6W",75186
"01J6X","J6X",75313
"01J6Y","J6Y",75440
"01J6Z","J6Z",75567
"01J7A","J7A",75694
"01J7B","J7B",75821
"01J7C","J7C",75948
"01J7E","J7E",76075
"01J7G","J7G",76202
"01J7H","J7H",76329
"01J7J","J7J",76456
"01J7K","J7K",76583
"01J7L","J7L",76710
"01J7M","J7M",76837
"01J7N","J7N",76964
"01J7P","J7P",77091
"01J7R","J7R",77218
"01J7T","J7T",77345
"01J7V","J7V",77472
"01J7W","J7W",77599
"01J7X","J7X",77726
"01J7Y","J7Y",77853
"01J7Z","J7Z",77980
"01J8A","J8A",78107
"01J8B","J8B",78234
"01J8C","J8C",78361
"01J8E","J8E",78488
"01J8G","J8G",78615
"01J8H","J8H",78742
"01J8L","J8L",78869
"01J8M","J8M",78996
"01J8N","J8N",79123
"01J8P","J8P",79250
"01J8R","J8R",79377
"01J8T","J8T",79504
"01J8V","J8V",79631
"01J8X","J8X",79758
"01J8Y","J8Y",79885
"01J8Z","J8Z",80012
"01J9A","J9A",80139
"01J9B","J9B",80266
"01J9E","J9E",80393
"01J9H","J9H",80520
"01J9J","J9J",80647
"01J9L","J9L",80774
"01J9P","J9P",80901
"01J9T","J9T",81028
"01J9V","J9V",81155
"01J9X","J9X",81282
"01J9Y","J9Y",81409
"01J9Z","J9Z",81536
"01K0A","K0A",81663
"01K0B","K0B",81790
"01K0C","K0C",81917
"01K0E","K0E",82044
"01K0G","K0G",82171
"01K0H","K0H",82298
"01K0J","K0J",82425
"01K0K","K0K",82552
"01K0L","K0L",82679
"01K0M","K0M",82806
"01K1A","K1A",82933
"01K1B","K1B",83060
"01K1C","K1C",83187
"01K1E","K1E",83314
"01K1G","K1G",83441
"01K1H","K1H",83568
"01K1J","K1J",83695
"01K1K","K1K",83822
